0.005  70.1860852169 -142.665935777 -72.4798505606
0.03  62.7813162177 -135.266942509 -72.4856262908
0.055  44.7485527501 -117.205896718 -72.4573439681
0.08  37.7041717714 -110.166502866 -72.4623310948
0.105  43.2488211146 -115.729102385 -72.4802812708
0.13  47.9018287675 -120.388952422 -72.4871236546
0.155  48.1022791298 -120.586851833 -72.4845727036
0.18  48.1845612111 -120.662897125 -72.4783359135
0.205  51.2157411839 -123.698915631 -72.4831744473
0.23  49.6350796077 -122.109432852 -72.4743532447
0.255  46.6989009973 -119.157420891 -72.4585198942
0.28  51.0420459526 -123.515162736 -72.4731167838
0.305  55.0426478545 -127.520956422 -72.478308568
0.33  54.4829110536 -126.965351607 -72.4824405536
0.355  50.0227645612 -122.506177212 -72.4834126508
0.38  47.7011414208 -120.187494285 -72.4863528641
0.405  50.0314661592 -122.519525391 -72.4880592318
0.43  51.4882584209 -123.964466461 -72.4762080405
0.455  51.8918027498 -124.359657437 -72.4678546871
0.48  51.8441168784 -124.312017282 -72.4679004038
0.505  49.8771219343 -122.344160132 -72.4670381978
0.53  47.3247015892 -119.787855288 -72.4631536991
0.555  46.8197735356 -119.284947723 -72.4651741878
0.58  47.8116763394 -120.280150985 -72.4684746461
0.605  49.0518653794 -121.525546525 -72.473681146
0.63  49.1698068533 -121.642076953 -72.4722700995
0.655  48.7966887329 -121.264707103 -72.4680183704
0.68  49.3246670089 -121.794771479 -72.4701044703
0.705  48.6341368423 -121.107616545 -72.4734797026
0.73  46.5297527429 -119.001510823 -72.4717580802
0.755  46.1026280742 -118.577219169 -72.4745910952
0.78  45.1682437044 -117.637894437 -72.4696507325
0.805  43.7003732033 -116.158032213 -72.4576590098
0.83  45.1320635074 -117.589334973 -72.4572714654
0.855  47.8979522054 -120.359929029 -72.4619768239
0.88  48.6200220367 -121.082674822 -72.4626527852
0.905  47.3319455888 -119.791446582 -72.459500993
0.93  46.3852348591 -118.85241357 -72.467178711
0.955  44.9186595134 -117.387042865 -72.4683833518
0.98  43.6709896978 -116.137486038 -72.4664963402
1.005  41.6210312253 -114.080155172 -72.4591239466
1.03  42.9512563728 -115.407601911 -72.4563455383
1.055  49.2030603003 -121.6690428 -72.4659824993
1.08  53.6783792339 -126.147923544 -72.4695443098
1.105  52.5486031489 -125.018812399 -72.4702092497
1.13  46.7295094825 -119.188059008 -72.4585495255
1.155  44.3545087853 -116.816845408 -72.4623366227
1.18  45.7141054567 -118.183613861 -72.469508404
1.205  46.5698456844 -119.042996693 -72.4731510084
1.23  45.0842363921 -117.542551335 -72.4583149426
1.255  46.0881503412 -118.554626492 -72.4664761503
1.28  45.8612807898 -118.318420801 -72.4571400113
1.305  48.3936594534 -120.861210689 -72.4675512358
1.33  49.0596767472 -121.531399459 -72.471722712
1.355  45.2252303335 -117.683698958 -72.4584686248
1.38  44.9966911649 -117.462215142 -72.4655239767
1.405  45.9067966464 -118.366976466 -72.46017982
1.43  49.4020929315 -121.868394243 -72.4663013111
1.455  52.1283236384 -124.59824327 -72.4699196316
1.48  51.965197181 -124.429975397 -72.4647782157
1.505  51.6794145019 -124.145169534 -72.4657550326
1.53  51.1854676556 -123.644540285 -72.4590726298
1.555  51.760965236 -124.220914162 -72.4599489255
1.58  51.9262090162 -124.384858252 -72.4586492359
1.605  52.1025515355 -124.568981218 -72.4664296823
1.63  48.9119589114 -121.365195886 -72.4532369751
1.655  48.697076782 -121.153625337 -72.4565485547
1.68  50.788429861 -123.256419089 -72.4679892278
1.705  48.9570466319 -121.428918611 -72.4718719793
1.73  44.2737128909 -116.739008633 -72.4652957417
1.755  43.3798725836 -115.850371596 -72.4704990123
1.78  43.6979291187 -116.167036049 -72.4691069299
1.805  45.0319676485 -117.502787681 -72.4708200328
1.83  48.9793769924 -121.472572805 -72.4931958122
1.855  49.8797783016 -122.368866655 -72.4890883533
1.88  48.6606288872 -121.141734023 -72.4811051361
1.905  45.2244974635 -117.696782728 -72.4722852643
1.93  43.3535931458 -115.814178394 -72.4605852482
1.955  47.6725883715 -120.140713156 -72.4681247848
1.98  50.9821974993 -123.450548652 -72.4683511527
2.005  50.8914771605 -123.364407888 -72.4729307272
2.03  46.6629549423 -119.132597106 -72.4696421636
2.055  44.1347698589 -116.590573349 -72.4558034899
2.08  49.828720139 -122.302926231 -72.474206092
2.105  52.4133060987 -124.882778968 -72.4694728694
2.13  52.3484220158 -124.821562387 -72.4731403712
2.155  49.9058826085 -122.377066889 -72.4711842804
2.18  46.9232756172 -119.396626051 -72.4733504335
2.205  43.5046463847 -115.959406911 -72.4547605265
2.23  47.1118525791 -119.587368818 -72.4755162388
2.255  51.0839628985 -123.567613634 -72.4836507354
2.28  51.6216758584 -124.105270217 -72.4835943584
2.305  48.7772084915 -121.253563089 -72.4763545972
2.33  47.4349433144 -119.905418864 -72.4704755493
