0.005  62.8834815341 -142.695858167 -79.8123766328
0.03  54.274143315 -134.094687318 -79.8205440027
0.055  33.6931338952 -113.47488688 -79.7817529851
0.08  29.3986668758 -109.19615637 -79.7974894937
0.105  35.2500892166 -115.057617408 -79.8075281917
0.13  39.5697103235 -119.382667604 -79.8129572808
0.155  40.1964756742 -119.995689708 -79.799214034
0.18  42.1017563785 -121.905866083 -79.8041097041
0.205  44.4138210788 -124.225407379 -79.8115863006
0.23  44.0195649227 -123.829871048 -79.8103061249
0.255  42.2228092814 -122.033379051 -79.81056977
0.28  39.6147769471 -119.417168777 -79.8023918297
0.305  39.4798818479 -119.281246759 -79.8013649108
0.33  40.1779527437 -119.980309527 -79.8023567832
0.355  40.0488015239 -119.846734115 -79.7979325915
0.38  40.8526108622 -120.656409924 -79.8037990616
0.405  39.670433836 -119.468338154 -79.7979043182
0.43  39.1528524567 -118.954082157 -79.8012297003
0.455  38.1683389632 -117.97064383 -79.8023048664
0.48  36.9761402534 -116.773843767 -79.7977035138
0.505  37.86088634 -117.666643816 -79.8057574759
0.53  37.1599279069 -116.964773591 -79.8048456842
0.555  35.4973983097 -115.29586933 -79.7984710204
0.58  36.3775310626 -116.172634533 -79.7951034707
0.605  40.8632173854 -120.663702546 -79.8004851605
0.63  44.448462972 -124.252809772 -79.8043468005
0.655  44.6884281946 -124.498702436 -79.8102742416
0.68  41.6567760544 -121.466312721 -79.8095366665
0.705  39.6148155301 -119.424207795 -79.8093922651
0.73  39.7700598062 -119.58053162 -79.8104718141
0.755  39.6878316031 -119.494558048 -79.8067264451
0.78  39.8252352205 -119.631519273 -79.8062840525
0.805  40.56153177 -120.366642773 -79.8051110034
0.83  41.8265778021 -121.632292592 -79.8057147899
0.855  41.9673292874 -121.773387173 -79.8060578854
0.88  40.7160550679 -120.520645789 -79.8045907214
0.905  40.9115358299 -120.718403695 -79.806867865
0.93  41.4459281736 -121.254724639 -79.8087964652
0.955  39.9894407739 -119.796031699 -79.8065909252
0.98  37.9076763448 -117.711194723 -79.8035183779
1.005  36.6126604034 -116.417122018 -79.8044616149
1.03  34.7736655903 -114.578005573 -79.804339983
1.055  34.319406381 -114.122261763 -79.8028553815
1.08  36.1725118472 -115.975212125 -79.8027002776
1.105  39.8142300448 -119.622447781 -79.8082177359
1.13  41.9492863578 -121.758152498 -79.8088661404
1.155  41.1427967486 -120.945287379 -79.8024906301
1.18  41.052258802 -120.85261452 -79.8003557181
1.205  42.0426486765 -121.848206955 -79.805558278
1.23  41.9943496572 -121.800248981 -79.8058993235
1.255  42.0790188185 -121.889222193 -79.8102033744
1.28  41.5026363312 -121.310327192 -79.807690861
1.305  42.276443484 -122.083772707 -79.8073292231
1.33  43.0371767729 -122.841590392 -79.8044136191
1.355  42.2850446315 -122.092624643 -79.8075800113
1.38  39.5104430266 -119.312676839 -79.8022338125
1.405  38.6311356749 -118.432961161 -79.8018254861
1.43  39.1929117946 -118.991901465 -79.7989896701
1.455  40.894765994 -120.700606713 -79.8058407188
1.48  42.2256641671 -122.036113418 -79.8104492508
1.505  42.6137513158 -122.424215305 -79.8104639892
1.53  41.8983807946 -121.707085181 -79.8087043868
1.555  40.6518324796 -120.458477863 -79.8066453838
1.58  40.4450120377 -120.254607084 -79.8095950462
1.605  40.0117037917 -119.824321882 -79.8126180901
1.63  38.0798368976 -117.884011787 -79.804174889
1.655  40.3128734534 -120.117727581 -79.8048541272
1.68  45.5313002094 -125.349206581 -79.8179063719
1.705  44.5361886651 -124.351521299 -79.8153326344
1.73  40.0236383841 -119.830606456 -79.8069680721
1.755  40.5292848333 -120.339963196 -79.8106783628
1.78  41.3718419387 -121.176348607 -79.8045066685
1.805  42.322370191 -122.123907341 -79.8015371497
1.83  45.7199362416 -125.543180218 -79.8232439763
1.855  44.3915599959 -124.212792338 -79.8212323422
1.88  42.150983953 -121.963801424 -79.8128174707
1.905  42.4195662521 -122.233178431 -79.8136121791
1.93  41.8966486022 -121.702935703 -79.8062871005
1.955  40.6236186726 -120.427548601 -79.8039299289
1.98  36.4108972374 -116.199290252 -79.7883930148
2.005  36.6713109195 -116.456567511 -79.7852565915
2.03  41.8540833239 -121.652267752 -79.7981844282
2.055  42.9364512262 -122.730839593 -79.7943883673
